"ID (14)","Location","SB196","1_3","SB207","2_3","SB85","3_3","SB100","3_4","GCPM_2425","5_3","GCPM_961","6_2","SB194","7_2","SB243","8_complicated","SB233","9_complicated","SB88","10_complicated","SB201","11_complicated","WPMS_15","12_3","SB210","13_complicated","SB 38","14_2"
"Se470","GilaR",186,192,92,92,98,98,115,115,200,200,149,156,115,115,114,114,190,190,102,102,209,235,163,163,133,133,117,117
"Se281","GR3W",180,183,92,92,101,104,115,115,185,200,149,156,113,115,114,114,190,190,99,102,201,201,163,163,133,133,117,117
"Se282","GR3W",186,186,92,92,98,98,115,115,197,200,149,151,115,115,114,114,190,190,99,99,201,209,163,163,133,133,117,117
"Se283","GR3W",186,186,92,94,98,98,115,115,200,203,151,151,115,115,114,114,190,190,99,102,201,201,163,163,133,139,117,117
"Se284","GR3W",192,192,92,92,98,98,115,115,200,203,151,160,115,115,114,114,190,190,99,102,209,209,163,163,133,137,117,117
"Se285","GR3W",186,192,92,92,98,98,115,115,188,197,151,160,115,115,114,114,190,190,99,102,209,209,163,163,133,133,117,117
"Se286","GR3W",186,192,92,98,98,98,115,115,197,200,151,160,115,115,114,114,190,190,99,102,233,233,163,163,133,133,117,117
"Se287","GR3W",183,192,92,92,98,98,115,117,185,197,151,151,115,115,114,114,190,190,99,99,201,235,163,163,133,133,117,117
"Se288","GR3W",192,192,92,92,98,98,115,115,197,200,160,160,115,117,114,114,190,190,99,102,235,235,163,163,133,137,117,117
"Se289","GR3W",192,192,92,92,98,98,115,115,200,200,151,151,115,115,114,114,190,190,99,102,207,209,163,163,133,133,117,117
"Se29","GR3W",192,192,92,92,98,98,115,115,200,200,160,160,115,115,114,114,190,190,99,99,209,209,163,163,133,133,117,117
"Se290","GR3W",192,192,92,92,104,104,115,115,197,197,149,149,115,115,114,114,190,190,99,99,209,209,163,163,137,139,117,117
"Se561","MittryL",192,192,92,92,98,98,115,115,200,200,149,160,115,115,114,114,190,190,102,102,201,209,163,163,133,133,117,117
"Se562","MittryL",192,192,92,92,98,98,109,115,200,200,149,160,115,115,114,114,190,190,102,102,201,209,163,163,133,133,117,117
"Se563","MittryL",192,192,92,92,98,98,115,115,200,200,149,160,113,113,114,133,163,190,102,102,209,209,163,163,133,133,117,117
"Se564","MittryL",192,192,92,92,98,98,115,115,200,200,149,160,115,115,114,114,190,190,102,102,201,209,163,163,133,133,117,117
"Se565","MittryL",192,192,92,92,98,98,115,115,200,200,149,160,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se566","MittryL",192,192,92,92,98,98,115,115,200,200,149,160,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se567","PaloVerde",192,192,92,92,95,98,115,115,200,200,160,160,115,115,114,114,190,190,102,102,201,240,163,163,133,133,117,117
"Se568","PaloVerde",192,192,92,92,95,98,115,115,200,200,160,160,115,115,114,114,190,190,102,102,207,207,163,163,133,133,117,117
"Se569","PaloVerde",186,192,92,92,98,101,115,115,194,200,156,160,115,115,114,114,190,190,99,102,235,235,163,163,133,133,117,117
"Se570","PaloVerde",192,192,92,92,95,98,115,115,200,200,160,160,115,115,114,114,190,190,102,102,201,240,163,163,133,133,117,117
"Se581","PaloVerde",192,192,92,92,98,98,115,115,197,197,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se582","PaloVerde",192,192,92,92,98,98,115,115,197,197,160,160,115,115,114,114,190,190,102,102,201,209,163,163,133,133,117,117
"Se583","PaloVerde",,,92,92,98,98,115,115,197,197,160,160,115,115,114,114,190,190,102,102,207,213,163,163,133,137,117,119
"Se584","PaloVerde",192,192,92,92,98,98,109,109,197,197,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se585","PaloVerde",192,192,92,92,98,98,115,115,197,197,160,160,115,115,114,114,190,190,102,102,201,209,163,163,133,133,117,117
"Se586","PaloVerde",,,,,98,98,,,,,,,113,117,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se587","PaloVerde",192,192,92,92,98,98,115,115,197,197,160,160,113,113,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se588","PaloVerde",192,192,92,92,98,98,115,115,197,197,160,160,115,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se589","PaloVerde",180,192,92,92,98,98,109,115,197,197,160,160,115,115,114,114,190,190,102,102,201,209,163,163,133,133,117,117
"Se590","PaloVerde",192,192,92,94,98,98,115,115,194,197,160,160,113,113,111,114,190,190,102,102,201,209,163,163,133,133,117,117
