"tree.id","geno","pheno","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25"
"tree_1",1,11,55.1430745604256,66.5302803970904,69.6085846277022,81.948366245026,73.1511695283674,95.1114170729119,79.6277745853107,88.1742831972101,74.4728651531669,35.8604697454465,25.9222395004087,75.0692764835236,117.124398157047,125.915620908709,67.8413614309366,80.7982131951048,114.160736226881,106.016413846771,85.885259266073,114.047340524799,110.981389255083,101.049588402692,60.1149443230645,99.2427652617525,86.031053180225
"tree_2",1,11,79.6989323005945,38.7225631331566,80.2509768352121,91.4243135735275,87.6939861869145,65.682807622896,84.986645549572,66.346524186607,7.13334732757041,13.0406750550996,81.2574403707014,34.6250726669924,100.253150960462,73.8995805521587,104.667117889975,100.51018088464,125.617418917577,77.6726766929129,111.133357630319,123.502682121707,55.5326699413261,80.4173680382241,106.126591679294,70.967558660278,97.6165557570994
"tree_3",1,11,80.7616529047921,43.2485420404195,90.1542145616578,104.615978992705,99.4401902117738,81.1489299742859,90.9687242691511,9.49574123764418,1e-05,1e-05,70.1970989288221,1e-05,67.0459548482401,60.6368308558594,102.638957097659,75.3986920729561,96.8445346130279,66.7079587339049,87.0014798730643,108.851616314813,88.4111183775542,45.4461978649323,75.2360096594044,114.269376780679,100.76146906056
"tree_4",1,11,65.5883690281469,114.073749354907,57.8324817306172,123.675244908337,123.506135735653,92.1179342355889,50.3842587728601,102.253263742323,50.3738523638892,38.7086252981055,47.1449242224022,42.3191276791752,83.6013349346755,103.654381031673,81.8363241698077,70.4471800848726,103.771012033935,106.037000547884,93.9181686805361,78.6188544191238,92.4069888972009,91.4878712842841,43.815577041918,101.821866463362,101.217490436385
"tree_5",1,11,83.601577313275,0.462548110669978,84.9425455830096,101.330623440056,100.602546213623,81.8305521574766,121.371324610912,17.4648698991503,1e-05,1e-05,102.342077626654,1e-05,58.1134562088484,96.4581051288455,72.8543811860209,102.943100576749,104.266409724946,40.221658901655,117.970614532561,65.9515922416175,35.387463555415,12.8560703898394,84.1054146796962,102.333530589783,104.66010813485
"tree_6",2,12.5,7.69476052900459,73.3390908480292,59.3427271003378,100.645262200073,80.0818538040345,116.48558508492,47.97243654956,73.5550964386163,99.6204259145499,107.454105025156,1e-05,104.421964182826,83.3516600253556,104.380617135573,97.65935076502,74.7541334107693,73.0542485759976,72.8355090864357,46.2232036364084,115.565946059801,82.1808939290343,116.061154319703,1e-05,79.848555091516,81.017488806224
"tree_7",2,12.5,53.1394137305641,82.7019776426175,48.8189795504157,92.2680226893688,112.25380418435,93.8444871929987,51.4230430596614,106.06688937415,32.4298161013277,31.963000827911,72.863988262365,73.2018776529709,76.206655526796,102.092906058654,91.8608285944144,53.4542801410447,82.2782709798326,113.546249980659,114.194492718111,81.9464493402359,120.530568489368,59.1821706127218,55.4663970940989,74.7182700298809,118.996897036911
"tree_8",2,12.5,83.5023492861391,61.6002713313698,92.8240590889031,107.216078444042,106.195038734927,71.98963583957,91.7822853497905,69.5326423424421,1e-05,40.1095867985982,94.9787248350513,9.86452339351506,121.591376724387,86.5649624616793,78.8360343697937,100.404589596876,99.3891996586497,94.7384793883074,80.0299961791912,95.2436740978121,107.936540917319,60.3919396743527,98.9743627967148,86.018928708915,105.052968554982
"tree_9",2,12.5,114.373232732555,45.7920076983621,85.6317588809484,97.9738928381904,115.469869336141,104.937527358899,110.918210725696,52.5768528466855,45.6232409889042,8.65958566162235,77.485252191715,8.80875821029161,99.7149175868623,77.1653115079537,74.227583825602,76.2782350496666,87.925485518856,88.228769767264,95.9226858524238,102.840739240811,99.171749375303,64.2229279911868,95.1739240942214,80.7757990727436,95.2007835001447
"tree_10",2,12.5,24.755126295463,79.2465471195137,57.9298708873673,117.189379611541,119.254842573596,104.951717744372,72.228593917738,78.7804307212112,79.2379864503183,98.4899554060624,25.0046995979857,63.6427719880514,115.157437858971,111.765136421451,103.938092765524,48.8028698899586,113.265399762801,122.100653448023,87.2764696455167,129.071150496253,90.4923761083028,96.6158903218508,50.7775989839031,119.270582947578,118.761170287077
